participant_ID	dmorph_acc	dmorph_rt
sub-1002	25	6967.88
sub-1076	27	4861.78
sub-1077	26	10136.7
sub-1078	12	15194.8
sub-1079	25	22252.7
sub-1080	26	10589.9
sub-1081	13	28172.2
sub-1082	16	14726.5
sub-1083	24	9194.42
sub-1084	24	9803.08
sub-1086	25	13725.9
sub-1089	27	4707.93
sub-1090	15	14588.4
sub-1091	18	13196
sub-1101	27	4367.41
sub-1102	27	10351.6
sub-1103	27	6876.26
sub-1105	25	10185.8
sub-1107	23	8330.22
sub-1110	25	7791.96
sub-1111	24	15656.7
sub-1116	21	8652.71
sub-1117	22	17693.6
sub-1118	22	4872.91
sub-1119	25	9354.68
sub-1122	26	11203.3
sub-1129	17	15684.6
sub-1130	21	10711
sub-1131	25	14883.6
sub-1148	19	9110.89
sub-1156	23	8097.09
sub-1160	26	8266.15
sub-1161	27	8079.85
sub-1169	23	9126.74
sub-1178	25	10830.6
sub-1180	24	6436.5
sub-1181	15	11302.7
sub-1184	16	21708.9
sub-1185	24	7181.08
sub-1187	26	8923.62
sub-1190	26	7733.04
sub-1191	20	7367.3
sub-1192	26	7457.81
sub-1193	22	13983.8
sub-1194	24	6069.5
sub-1195	25	9063.2
sub-1196	26	5885.81
sub-1197	11	28436
sub-1198	24	9832.79
sub-1199	21	11980.7
sub-1203	26	7611.08
sub-1204	14	27838.7
sub-1205	21	17326.6
sub-1206	24	9903.17
sub-1208	25	4688.24
sub-1209	21	11637.6
sub-1210	24	8217.83
sub-1211	24	9956.38
sub-1213	19	21599.5
sub-1219	1	15313
sub-1220	10	41399.8
sub-1223	17	12710
sub-1225	18	16151.9
sub-1228	4	15352.8
sub-1229	17	11327.52941
sub-1231	7	26252.7
sub-1240	26	8558.92
sub-1246	11	106552
sub-1247	21	53972
sub-1248	22	15933
sub-1250	22	16442.27273
sub-1251	18	12801.8
sub-1252	21	9425.24
sub-1255	4	26993
sub-1257	11	35777.5
sub-1265	19	22736.5
sub-1268	6	23805.8
sub-1269	22	5066.590909
sub-1276	4	27869
sub-1277	19	10856.6
sub-1278	23	13509.26087
sub-1283	24	6961.958333
sub-1284	19	10477
